종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"271980","제일약품","KOSPI","의약품","16650","50","0.30","244836118800"
"001560","제일연마","KOSPI","비금속광물","7880","30","0.38","78800000000"
"002620","제일파마홀딩스","KOSPI","서비스업","9490","50","0.53","151587138950"
"006220","제주은행","KOSPI","은행","8560","-1020","-10.65","275022305440"
"089590","제주항공","KOSPI","운수창고업","11800","150","1.29","587164082400"
"004910","조광페인트","KOSPI","화학","7220","-50","-0.69","92416000000"
"004700","조광피혁","KOSPI","기타제조업","46250","-1650","-3.44","307522632500"
"001550","조비","KOSPI","화학","14800","400","2.78","76845137200"
"000480","조선내화","KOSPI","비금속광물","77000","100","0.13","308000000000"
"120030","조선선재","KOSPI","기계","104500","0","0.00","131424529500"
"018470","조일알미늄","KOSPI","철강금속","2300","40","1.77","289412958300"
"002600","조흥","KOSPI","음식료품","182000","-500","-0.27","109200000000"
"185750","종근당","KOSPI","의약품","74800","-1100","-1.45","896705242400"
"063160","종근당바이오","KOSPI","의약품","20500","-100","-0.49","112462221000"
"001630","종근당홀딩스","KOSPI","의약품","49650","-50","-0.10","248739598650"
"044380","주연테크","KOSPI","전기전자","587","-16","-2.65","34749956228"
"013890","지누스","KOSPI","기타제조업","32450","-550","-1.67","559192385950"
"013870","지엠비코리아","KOSPI","운수장비","4400","-80","-1.79","83918032000"
"071320","지역난방공사","KOSPI","전기가스업","29350","-50","-0.17","339836136400"
"035000","지투알","KOSPI","서비스업","5820","70","1.22","96422320380"
"088790","진도","KOSPI","유통업","2405","5","0.21","29936824320"
"003780","진양산업","KOSPI","화학","6790","-30","-0.44","88270000000"
"010640","진양폴리","KOSPI","화학","5790","-180","-3.02","57900000000"
"100250","진양홀딩스","KOSPI","화학","3065","-35","-1.13","171319069980"
"051630","진양화학","KOSPI","화학","3700","-20","-0.54","58460000000"
"272450","진에어","KOSPI","운수창고업","14550","-300","-2.02","759510000000"
"011000","진원생명과학","KOSPI","의약품","10150","50","0.50","789178729850"
"002780","진흥기업","KOSPI","건설업","1250","10","0.81","181839681250"
"002787","진흥기업2우B","KOSPI","건설업","12800","-600","-4.48","3773542400"
"002785","진흥기업우B","KOSPI","건설업","4895","45","0.93","4196082110"
"009310","참엔지니어링","KOSPI","기계","802","22","2.82","47211670038"
"000650","천일고속","KOSPI","운수창고업","59600","-1300","-2.13","85181512000"
"033250","체시스","KOSPI","운수장비","927","23","2.54","29664000000"
"118000","초록뱀헬스케어","KOSPI","유통업","538","-13","-2.36","45571281930"
"035720","카카오","KOSPI","서비스업","49850","-250","-0.50","22199284800850"
"323410","카카오뱅크","KOSPI","은행","17750","-50","-0.28","8460208006750"
"377300","카카오페이","KOSPI","기타금융","36200","-150","-0.41","4801239195400"
"006380","카프로","KOSPI","화학","2215","5","0.23","88600000000"
"109070","컨버즈","KOSPI","전기전자","4100","0","0.00","150921943000"
"001620","케이비아이동국실업","KOSPI","운수장비","538","-12","-2.18","53946882608"
"029460","케이씨","KOSPI","의료정밀","14800","250","1.72","200599851200"
"281820","케이씨텍","KOSPI","의료정밀","14600","100","0.69","304578717600"
"381970","케이카","KOSPI","유통업","12700","300","2.42","610698969100"
"145270","케이탑리츠","KOSPI","서비스업","915","-5","-0.54","43975608210"
"417310","코람코더원리츠","KOSPI","서비스업","4095","-245","-5.65","165438000000"
"357120","코람코에너지리츠","KOSPI","서비스업","4555","-75","-1.62","403274529070"
"007815","코리아써우","KOSPI","전기전자","6910","160","2.37","20486007900"
"007810","코리아써키트","KOSPI","전기전자","14200","200","1.43","335414664200"
